publisher,sector,company_size
교보문고,"서적, 신문 및 잡지류 소매업",중소기업
21세기북스,출판업,중소기업
넥서스,출판업,중소기업
상상스퀘어,"컴퓨터 및 주변장치, 소프트웨어 도매업",중소기업
하이스트,출판업,중소기업
프롤로그,출판업,중소기업
해커스어학연구소,교과서 및 학습서적 출판업,중소기업
더퀘스트,기타 인문 및 사회과학 연구개발업,중소기업
현대지성,출판업,중소기업
토네이도,출판업,중소기업
아울북,출판업,중소기업
대원씨아이,만화 출판업,중소기업
다산어린이,출판업,중소기업
창비,일반 서적 출판업,중소기업
서삼독,출판업,중소기업
한스미디어,광고 대행업,중소기업
YBM,출판업,중소기업
민음인,출판업,중소기업
까치,출판업,중소기업
포레스트북스,출판업,중소기업
가나출판사,출판업,중소기업
직업상점,일반 서적 출판업,중소기업
은행나무,출판업,중소기업
북플레저,출판업,중소기업
북스그라운드,출판업,중소기업
메이븐,응용 소프트웨어 개발 및 공급업,중소기업
필름(Feelm),출판업,중소기업
스노우폭스북스,일반 서적 출판업,중소기업
어크로스,출판업,중소기업
유노북스,출판업,중소기업
센시오,일반 서적 출판업,중소기업
자음과모음,출판업,중소기업
쓰다,출판업,중소기업
비즈니스북스,출판업,중소기업
말글터,출판업,중소기업
퍼스트펭귄,출판업,중소기업
북모먼트,출판업,중소기업
스토리보울,출판업,중소기업
통나무,출판업,중소기업
문학과지성사,출판업,중소기업
웅진지식하우스,출판업,중소기업
이투스북,출판업,중소기업
사이언스북스,출판업,중소기업
리틀포레스트,출판업,중소기업
역바연,출판업,중소기업
돌핀북,출판업,중소기업
인플루엔셜,일반 서적 출판업,중소기업
지우출판,출판업,중소기업
위즈덤하우스,일반 서적 출판업,중소기업
거인의정원,출판업,중소기업
대원키즈,출판업,중소기업
밀리언서재,출판업,중소기업
페이지2북스,출판업,중소기업
진성북스,출판업,중소기업
한빛라이프,출판업,중소기업
삼성출판사,일반 서적 출판업,중소기업
토스트,출판업,중소기업
다산책방,출판업,중소기업
알토북스,출판업,중소기업
미래엔아이세움,출판업,중소기업
문학동네,일반 서적 출판업,중소기업
김영사,일반 서적 출판업,중소기업
데이원,출판업,중소기업
디앤씨미디어,일반 서적 출판업,중소기업
문예춘추사,출판업,중소기업
길벗,상품 종합 도매업,중소기업
곰출판,출판업,중소기업
민음사,일반 서적 출판업,중소기업
